episode_id,suite,task_id,arm,baseline_success,first_success_attempt,intervention_iterations_to_success,censored_after_attempt,provider_calls_through_success_or_cap,reset_audit_sha256,source_summary_sha256,workflow,worker
libero_10:seed19:task0:state1,libero_10,0,random_noise,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,noise_only,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,language_only,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,vision_only,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,noise_language,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,noise_vision,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,language_vision,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task0:state1,libero_10,0,joint,True,1,0,,0,33ccf32d99db3a9b7142e63731cc5dd05cb3746763991e1a2d845ec54d18efbc,1f29846ab54f36c83bcb00e049cd690a7882b589b7cd194886181f2c55ee650f,astra-pi05-interventions-dev-20260924-2,0
libero_10:seed19:task1:state1,libero_10,1,random_noise,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,noise_only,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,language_only,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,vision_only,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,noise_language,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,noise_vision,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,language_vision,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
libero_10:seed19:task1:state1,libero_10,1,joint,True,1,0,,0,69abbb4502a66210344b477182c7e2b7a2a307c9820e2ecd8abe75098cc770b6,c98763a6fe454785cad82bd04cd6bdd2208b332780ff5e99fa7cbe4c987df3a3,astra-pi05-interventions-dev-20260924-2,1
