worker,cost_role,episode_id,attempt_id,decision_index,observation_step,request_fingerprint,decision_id,provider_call,accepted,http_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,original_line_sha256,source_file,source_line
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,1,0,9236d2dea530c757310aceff610f53b917cddc5c3aeacb90d508f425af12726e,astra_tei_2_d1,True,True,200,4005,210,0,4215,fd6edc5a18f7c795072da0da1a622ec614774890afce18160b15958699a9ea91,worker_0/case_6_0/astra_tei_2_provider.jsonl,1
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,2,25,5de174e80c58708d7571fa2296a9d30f4fa84bfd0b92b25de9f39e69d02e275c,astra_tei_2_d2,True,True,200,5278,216,0,5494,f3cb0a86cccb7d709aeb06669a862dcd23a67aaf0d7abf8f1b7a668179032fd4,worker_0/case_6_0/astra_tei_2_provider.jsonl,2
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,3,50,8f85edcfb1afc21486bd8878bfa5c127d43745e570cc3b4eb01adf66ec2f4f2d,astra_tei_2_d3,True,True,200,5543,264,32,5807,da06b897f4cbc23c6b67fb1cd623bedb45bad0bca6ded97438c0500d31e02259,worker_0/case_6_0/astra_tei_2_provider.jsonl,3
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,4,75,20799d3332499ff05a468b28c9017e206df7995f4e8318fe430a28ffa9704574,astra_tei_2_d4,True,True,200,5807,231,0,6038,a2e5b56d811777ae1a122e3ece0304c5df9d86ce6da8ecde4070665447fb0b9c,worker_0/case_6_0/astra_tei_2_provider.jsonl,4
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,5,100,0538e83784cb263bf9215eec1c81f056fd38e9ced2a3bec20dac497403bfa786,astra_tei_2_d5,True,True,200,6087,227,0,6314,1704a02e5f318afb2d660ddfed54bc4dadc54d4a6cf38aba65f09a0fc78ab5f7,worker_0/case_6_0/astra_tei_2_provider.jsonl,5
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,6,125,09816182422b4d89c2e6536ebddbe5c6e27840de30a4a780cc49b1385b365917,astra_tei_2_d6,True,True,200,6366,284,36,6650,1075b5e08555314ff5bf3c4abeb771ddb73e6e2596ad2e861f365dfe65e1dd84,worker_0/case_6_0/astra_tei_2_provider.jsonl,6
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,7,150,754ac2fdf4a6efea1fc90a97b393ee3a4133450733eb41c4f796832cf5ab6ba8,astra_tei_2_d7,True,True,200,6662,238,0,6900,ef3da4c4d97604f717f09826c2410220632715e73235b8a30161b0537cb09d93,worker_0/case_6_0/astra_tei_2_provider.jsonl,7
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,8,175,a22705d31e1d5b8a4ead2631a9893de9f349ce5a01254200d5df42a7c8d1ddf3,astra_tei_2_d8,True,True,200,6959,304,50,7263,cd924475b59c0f8d321e9119f0308ee93dc0e847bc374fad17643e2f31a184da,worker_0/case_6_0/astra_tei_2_provider.jsonl,8
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,9,200,130fe53146517c3b4f5e53340dbd7548afd8a85b24acc843e014c5593a561d0c,astra_tei_2_d9,True,True,200,7249,259,17,7508,64cf3d3868cbaeb91e822c31a9d1235aab181030f92e342e477f8d7723a7def8,worker_0/case_6_0/astra_tei_2_provider.jsonl,9
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,10,225,5ab78f073b87fe69569eccb7f0e05ad24d0b4cb0559a70a93c439dd5f639d576,astra_tei_2_d10,True,True,200,7537,309,67,7846,894cc347fce3581ea6db5a9c83242215a31edd971e3710562abb6e8d760aa60d,worker_0/case_6_0/astra_tei_2_provider.jsonl,10
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,11,250,80f2fd139027d1d74723f6d3fd110cb46f1f9accabfd5b53a937898dde84b102,astra_tei_2_d11,True,True,200,7826,286,31,8112,11f310e492bd2f231d41a2a6e9d703d14e2c40649def942ac331965534c13d39,worker_0/case_6_0/astra_tei_2_provider.jsonl,11
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_2,12,275,1196b4e9662fa181fb14b00047e018c17334d6aa0b1cf4acbb1fd5eaa2ee82ee,astra_tei_2_d12,True,True,200,8129,255,0,8384,92f49a9ac799e59442f08a2ad78ffd1ef3824165e2966fb189f70504e24a6c8a,worker_0/case_6_0/astra_tei_2_provider.jsonl,12
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,1,0,8f365e5833cea669e1565e4a64d841067c88425e55e4f7c429d6aa9a2a84058b,astra_tei_3_d1,True,True,200,7482,253,0,7735,e416cc7f0275905b0dc071f795c638e137929eca4a59b293a3b84ff894d4069e,worker_0/case_6_0/astra_tei_3_provider.jsonl,1
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,2,25,2a92e8ee979049805504f2fc94dd1562e9a8523d4299dc0114fdfe26c3ab1fe7,astra_tei_3_d2,True,True,200,8783,253,0,9036,5a62f9a9586f0a9c8d61c6d71194907146669f2abfe5a6745868f75fa3f11dc8,worker_0/case_6_0/astra_tei_3_provider.jsonl,2
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,3,50,c0da16a847834b31ca578a04c73393204db4e8a7d7b45994fdcc3feb3f49d75a,astra_tei_3_d3,True,True,200,9089,312,38,9401,49c0d1571f8114e996d04b728515e4de6c41bbc9499238d124fe6e4438e2cc2b,worker_0/case_6_0/astra_tei_3_provider.jsonl,3
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,4,75,4f069cdb838bed5f9f04feccdf32fbceff1cde1f6ed0c02a2c0f29c5ab69895b,astra_tei_3_d4,True,True,200,9418,323,45,9741,92f97e5e692dccefa5e2acc7916628fb9f6243dd0661ca3f15d8898152c55c9d,worker_0/case_6_0/astra_tei_3_provider.jsonl,4
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,5,100,9e71c52fef00f55d086c7d0f44528986d4944aa93252cc79d1c7fae4c2c1698e,astra_tei_3_d5,True,True,200,9740,307,37,10047,d518ba7d1c6cd739c9dee7587e5fd7acec6261c5b5b905878386b6d5ae954bd9,worker_0/case_6_0/astra_tei_3_provider.jsonl,5
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,6,125,ba7ea96ed0b27e31c388ead35c9aff02b611e75be750eca5d59094084cb29aa3,astra_tei_3_d6,True,True,200,10044,409,135,10453,3ef34269c48aef628ed8aa1f9c671c5d0e0e581ab8acd61641376c65cffb67ca,worker_0/case_6_0/astra_tei_3_provider.jsonl,6
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,7,150,f4111cc925662e74d2e60240a217973e72c0efb411a3bd8daf03c1e6034a27ee,astra_tei_3_d7,True,True,200,10371,253,0,10624,1a128d81554a3eeb7ea58b2ec0efaab6a25fce6d7ac0d58124baa9f97c1bac81,worker_0/case_6_0/astra_tei_3_provider.jsonl,7
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,8,175,20d5e23b40235bb044e5183e52dfe7003c377c6e12fc327aa37bad17d5ea71e6,astra_tei_3_d8,True,True,200,10666,292,0,10958,2654e2b4cd53b73663d700b5e7834fb897f62fa488a824a3efcdfa265e66c011,worker_0/case_6_0/astra_tei_3_provider.jsonl,8
0,additional_interruption_overhead,libero_goal_ood:seed19:task6:state0,astra_tei_3,9,200,90b2ee0cc253a64361b3b60328691d29303a54bf15624aef82a1ef882b0fa90a,astra_tei_3_d9,True,True,200,11003,264,0,11267,895facf7736420bc6e6a4b16401e4108e18ac5e8cd3fffb11eaa1e2893bba0a0,worker_0/case_6_0/astra_tei_3_provider.jsonl,9
